"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"NXPA";"NXPA-NPA";"";""
"NPA P";"NXPA-NPA";"";""
"NPA";"NXPA-2/112-NN H2";"";""
"NPA G";"NPA-326-NN";"";""
"NSI";"NPA-602-NPL";"";""
"N 63C";"NPA-NPL";"";""
"N 62C";"NPA-NPL";"";""
"NSAN";"NPA-2-NPL";"";""
"NVI";"NPA-1-NPL";"";""
"NVIB";"NPA-NPL";"";""
"N 780";"NPA-NPL";"";""
"N 781";"NPA-NPL";"";""
"N 782";"NPA-NPL";"";""
"N 783";"NPA-NPL";"";""
"NPLG";"NPA-NPL";"";""
"NGIU";"NPA-1-NPL";"";""
"N 787";"NPA-NPL";"";""
"N 786";"NPA-NPL";"";""
"NOS";"NPA-2-NOT";"";""
"N 791";"NPA-NPL";"";""
"N 790";"NPA-NPL";"";""
"N 793";"NPA-NPL";"";""
"N 792";"NPA-NPL";"";""
"N 795";"NPA-NPL";"";""
"N 794";"NPA-NPL";"";""
"NPL";"NPA-4-NOT";"";""
"N 893";"NPL-NOT";"";""
"N 892";"NPL-NOT";"";""
"N 895";"NPL-NOT";"";""
"N 894";"NPL-NOT";"";""
"NSK";"NPL-2-NOT";"";""
"N 899";"NPL-NOT";"";""
"N898A";"NPL-NOT";"";""
"N 901";"NPL-NOT";"";""
"N 900";"NPL-NOT";"";""
"NST";"NPL-3-NOT";"";""
"N 11F";"NPL-NOT";"";""
"N 12F";"NPL-NOT";"";""
"N 13C";"NPL-NOT";"";""
"N 14C";"NPL-NOT";"";""
"NRA";"NPL-1-NOT";"";""
"N 17A";"NPL-NOT";"";""
"N 18C";"NPL-NOT";"";""
"NSUE";"NPL-2-NOT";"";""
"N 21D";"NPL-NOT";"";""
"N 22H";"NPL-NOT";"";""
"N 23H";"NPL-NOT";"";""
"N 24H";"NPL-NOT";"";""
"N 25I";"NPL-NOT";"";""
"N 26H";"NPL-NOT";"";""
"NMG";"NPL-2-NOT";"";""
"NOT";"NPA-2-NRH";"";""
"NROS";"NOT-NRH";"";""
"NBWH";"NOT-NRH";"";""
"NROB";"NOT-2-NRH";"";""
"NRH";"NOT-8-NRH B 3";"";""
"NRH B";"NRH-248/318-NN";"";""
"NRPF";"NRH-NN";"";""
"N  3C";"NRH-NN";"";""
"N  2Q";"NRH-NN";"";""
"N  4D";"NRH-NN";"";""
"NET";"NRH-NN";"";""
"N  5B";"NRH-NN";"";""
"N  6B";"NRH-NN";"";""
"NUDF";"NRH-2-NN";"";""
"NDN";"NRH-NN";"";""
"N 23G";"NRH-NN";"";""
"N 22C";"NRH-NN";"";""
"N 25C";"NRH-NN";"";""
"N 75A";"NRH-NN";"";""
"N 24C";"NRH-NN";"";""
"N 74E";"NRH-NN";"";""
"NLB";"NRH-NN";"";""
"N 27C";"NRH-NN";"";""
"N  2M";"NRH-NN";"";""
"N  1P";"NRH-NN";"";""
"N  4F";"NRH-NN";"";""
"NBE";"NRH-2-NN";"";""
"N 23C";"NRH-NN";"";""
"N 22D";"NRH-NN";"";""
"NMSM";"NRH-NN";"";""
"N 25E";"NRH-NN";"";""
"N 24D";"NRH-NN";"";""
"N  1M";"NRH-NN";"";""
"N  2N";"NRH-NN";"";""
"NPB";"NRH-2-NN";"";""
"N 23F";"NRH-NN";"";""
"N  2O";"NRH-NN";"";""
"NSF";"NRH-2-NN";"";""
"N 23D";"NRH-NN";"";""
