"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"ABCH";"ABCHG(6100-2)-2-WHL";"";""
"A5986";"ABCH-WHL";"";""
"YBWSB";"ABCH-WHL";"";""
"WQSA";"ABCH-WBZ";"";""
"W5987";"ABCH-WSAH";"";""
"WSAH";"ABCH-WBZ";"";""
"W5882";"WSAH-WBZ";"";""
"W5892";"WSAH-WBZ";"";""
"W5883";"WSAH-WBZ";"";""
"WBZ";"ABCH-2-WBRH";"";""
"W5884";"WBZ-WBRH";"";""
"W5895";"WBZ-WBRH";"";""
"W5885";"WBZ-WBRH";"";""
"W5782";"WBZ-WBRH";"";""
"W5792";"WBZ-WBRH";"";""
"W5783";"WBZ-WBRH";"";""
"WBRH";"WBZ-2-WPRZ";"";""
"W5682";"WBRH-WPRZ";"";""
"W5683";"WBRH-WPRZ";"";""
"WPRZ";"WBRH-2-WHL";"";""
"W5684";"WPRZ-WHL";"";""
"W5695";"WPRZ-WHL";"";""
"W5685";"WPRZ-WHL";"";""
"W5082";"WPRZ-WHL";"";""
"W5092";"WPRZ-WHL";"";""
"W5083";"WPRZ-WHL";"";""
"WHL";"WBRH-12-WL";"";""
"W5084";"WHL-WJAS";"";""
"W5595";"WHL-WJAS";"";""
"W5585";"WHL-WJAS";"";""
"WSTK";"WHL-WJAS";"";""
"W5582";"WHL-WJAS";"";""
"W5592";"WHL-WJAS";"";""
"W5583";"WHL-WJAS";"";""
"WJAS";"WHL-2-WL";"";""
"W5584";"WJAS-WL";"";""
"W5483";"WJAS-WL";"";""
"WL";"WJAS-2/402-WGRB";"";""
"W5486";"WL-WGRB";"";""
"W5487";"WL-WGRB";"";""
"W5484";"WL-WGRB";"";""
"W5485";"WL-WGRB";"";""
"W5382";"WL-WGRB";"";""
"W5383";"WL-WGRB";"";""
"WGRB";"WL-2-WKWA";"";""
"W5388";"WGRB-WKWA";"";""
"W5389";"WGRB-WKWA";"";""
"W5386";"WGRB-WKWA";"";""
"W5395";"WGRB-WKWA";"";""
"W5387";"WGRB-WKWA";"";""
