"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"HL  G";"EHFD(1700)-202-HL";"";""
"HL";"HL G(2990)-008-HM(2990)";"";""
"HGOF";"HL-HM";"";""
"HOY";"HL(2990)-3-HM(2990)";"";""
"HOYG";"HL(2990)-3-HPTH(7656)";"";""
"HOYGA";"HL(7656)-HM";"";""
"H84BP";"HL-HM";"";""
"H83PB";"HL-HM";"";""
"H82BP";"HL-HM";"";""
"H182O";"HL-HM";"";""
"H181P";"HL-HM";"";""
"H81ML";"HL-HM";"";""
"H80BP";"HL-HM";"";""
"H67PB";"HL-HM";"";""
"H165O";"HL-HM";"";""
"H66OP";"HL-HM";"";""
"HPTH";"HL-HM";"";""
"H166P";"HL-HM";"";""
"H65MP";"HL-HM";"";""
"H64PM";"HL-HM";"";""
"H63MP";"HL-HM";"";""
"H62PM";"HL-HM";"";""
"H61MP";"HL-HM";"";""
"HM";"HL(1700)-13-HM  G(1700-2)";"";""
"HM  G";"HM(1700-2)-113-HWUN";"";""
"H56MB";"HM-HWUN";"";""
"HQM";"HM-HBKB";"";""
"H55BM";"HM-HWUN";"";""
"H154M";"HM-HWUN";"";""
"H54MB";"HM-HWUN";"";""
"H53BM";"HM-HWUN";"";""
"H52MB";"HM-HWUN";"";""
"H51BM";"HM-HWUN";"";""
"HBKB";"HM-2-HWUN";"";""
"H46BK";"HM-HWUN";"";""
"H45KB";"HM-HWUN";"";""
"H44BK";"HM-HWUN";"";""
"H43KB";"HM-HWUN";"";""
"H42BK";"HM-HWUN";"";""
"H41KB";"HM-HWUN";"";""
"HKHN";"HM-1-HWUN";"";""
"H34KS";"HM-HWUN";"";""
"H33SK";"HM-HWUN";"";""
"H32KS";"HM-HWUN";"";""
"H31SK";"HM-HWUN";"";""
"HSHG";"HM-3-HWUN";"";""
"H24SL";"HM-HWUN";"";""
"H23LS";"HM-HWUN";"";""
"H22SL";"HM-HWUN";"";""
"H21LS";"HM-HWUN";"";""
"HLH";"HM-2-HWUN";"";""
