"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"F107A";"FKMP-FLY";"";""
"F206A";"FKMP-FLY";"";""
"F105B";"FKMP-FLY";"";""
"FLY";"FKMP-1-FKAU";"";""
"F202B";"FLY-FKAU";"";""
"F101A";"FLY-FKAU";"";""
"FKAU";"FLY-2-FLOR";"";""
"FQLO";"FKAU-2-FLOR";"";""
"F105A";"FKAU-FLOR";"";""
"F204A";"FKAU-FLOR";"";""
"FLON";"FKAU-1-FKAU";"";""
"F103A";"FKAU-2-FLOR";"";""
"F202A";"FKAU-2-FAH";"";""
"F101D";"FKAU-2-FAH";"";""
"FLOR";"FKAU-2-FAH";"";""
"F212A";"FKAU-2-FAH";"";""
"F114A";"FKAU-1-FAH";"";""
"FLOU";"FKAU-2-FAH";"";""
"F109C";"FKAU-FAH";"";""
"F208C";"FKAU-FAH";"";""
"F107C";"FKAU-2-FAH";"";""
"F206C";"FKAU-2-FAH";"";""
"FAH";"FKAU-2-FRDH";"";""
"F202G";"FAH-FRDH";"";""
"F103K";"FAH-FRDH";"";""
"FRDH";"FAH-2-FOE";"";""
"F054B";"FRDH-FGSM";"";""
"F055C";"FRDH-FGSM";"";""
"FGSM";"FRDH-1-FOE";"";""
"F043B";"FGSM-FOE";"";""
"FOE";"FRDH-1-FHAT";"";""
"FHAT";"FOE-1-FELT";"";""
"F042B";"FHAT-FELT";"";""
"F041B";"FHAT-FELT";"";""
"FERB";"FHAT-1-FELT";"";""
"FELT";"FHAT-1-FELTO";"";""
"FELTO";"FELT-11-FWS";"";""
"FNWF";"FELTO-FWS";"";""
"FWS";"FELTO-1-FWB";"";""
"FWB";"FWS-701-FWB_A";"";""
"FWB A";"FWB-2-FWO_G";"";""
"FWO G";"FWB_A-412-FWO_B";"";""
"FWO B";"FWO_B-2-FMK";"";""
"F182A";"FWO_B-FMK";"";""
"F176B";"FWO_B-FMK";"";""
"FA176";"FWO_B-FMK";"";""
"F179A";"FWO_B-FMK";"";""
"FMK";"FWO_B-2-FKOS";"";""
"F172B";"FMK-FKOS";"";""
"FA175";"FMK-FKOS";"";""
"F171B";"FMK-FKOS";"";""
"FKOS";"FMK-FMB";"";""
"FKOO";"FMK-FMB";"";""
"F718A";"FKOS-FMB";"";""
"F719A";"FKOS-FMB";"";""
"F720A";"FKOS-FMB";"";""
"FMB P";"FKOS-001-FMB_A-3530";"";""
"FMB A";"FMB_P-202-FNU";"";""
"F813A";"FMB_A-FNU";"";""
"F814A";"FMB_A-FNU";"";""
"F815A";"FMB_A-FNU";"";""
"F816A";"FMB_A-FNU";"";""
"F817A";"FMB_A-FNU";"";""
"F818A";"FMB_A-FNU";"";""
"FNU";"FMB-2-FGER";"";""
"F821A";"FNU-FGER";"";""
"F822A";"FNU-FGER";"";""
"FGER";"FNU-1-FGERO";"";""
"FGERO";"FGER-11-FD";"";""
"FEIM";"FGERO-FD";"";""
"FKGE";"FEIM-1-FD";"";""
"F027A";"FGER-FWI";"";""
"F028A";"FGER-FWI";"";""
"F029A";"FGER-FWI";"";""
"F030A";"FGER-FWI";"";""
"FWI";"FEIM-FD";"";""
"FSTN";"FWI-FD__G";"";""
"FD  G";"FSTN-251-FD-8-3530";"";""
"FD";"FD__G-010-FDE_N-D3-8-3530/3601";"";""
"F001A";"FD-FDE_N";"";""
"F002A";"FD-FDE_N";"";""
"FDS";"FD-1-FDE_N";"";""
"F003C";"FD-FDE_N";"";""
"F004C";"FD-FDE_N";"";""
"F005D";"FD-FDE_N";"";""
"F006C";"FD-FDE_N";"";""
"FDE N";"FD-13-3-FDE";"";""
"FDE";"FDE_N-3S/H2-FBI_N";"";""
"F009B";"FDE-FBI_N";"";""
"F010B";"FDE-FBI_N";"";""
"F011F";"FDE-FBI_N";"";""
"F012E";"FDE-FBI_N";"";""
"F013C";"FDE-FBI_N";"";""
"F014E";"FDE-FBI_N";"";""
"FBI N";"FDE-12-FBI";"";""
"FBI";"FBI_N-2-FBAU";"";""
"F001E";"FBI-FBAU";"";""
"F002E";"FBI-FBAU";"";""
"FHAE";"FBI-FBAU";"";""
"F003D";"FBI-FBAU";"";""
"F004D";"FBI-FBAU";"";""
"FZW";"FBI-2-FBAU";"";""
"FBAU";"FZW-2-FBH";"";""
"FBH";"FBAU-2-12-FHP_N";"";""
"F007B";"FBH-FHP_N";"";""
"F006E";"FBH-FHP_N";"";""
"FHP N";"FBH-12-FHP";"";""
"FHP";"FHP_N-2-RHCH";"";""
"F011G";"FHP-RHCH";"";""
"F010H";"FHP-RHCH";"";""
"YFRLH";"FHP-RWE";"";""
"R4513";"FHP-RWE";"";""
"R4521";"FHP-RWE";"";""
"RQLC";"FHP-RWE";"";""
"R4511";"FHP--RWE";"";""
"R4512";"FHP-RWE";"";""
"RLCH";"FHP-RWE";"";""
"R4515";"FHP-RWE";"";""
"R4514";"FHP-RWE";"";""
"RHCH";"FHP-3-RWE";"";""
"R6311";"FHP-RWE";"";""
"R6310";"FHP-RWE";"";""
"RWE";"FHP-3-ZR3/103-RH H1";"";""
"R6315";"RWE-RH";"";""
"R6333";"RWE-RH";"";""
"R6314";"RWE-RH";"";""
"RLUE";"RWE-RH";"";""
"R6217";"RWE-RH";"";""
"R6234";"RWE-RH";"";""
"R6216";"RWE-RH";"";""
"RGCH";"RWE-1-RH";"";""
"R6221";"RWE-RH";"";""
"R6220";"RWE-RH";"";""
"RLD";"RWE-N402-RH";"";""
"RMF";"RWE-N 6-RSZ";"";""
"RZHB";"RMF-RSZ";"";""
"R241S";"RMF-RSZ";"";""
"R243S";"RMF-RSZ";"";""
"R242S";"RMF-RSZ";"";""
"RSZ";"RMF-R 8-RHK";"";""
"ROFH";"RSZ-RHK";"";""
"RSZ S";"RSZ-RHK";"";""
"R315G";"RM-RHK";"";""
"R316G";"RM-RHK";"";""
"RHK";"RSZ B-402-RWG";"";""
"RNL";"RHK-RGN";"";""
"R547G";"RHK-RGN";"";""
"R517G";"RHK-RGN";"";""
"R518G";"RHK-RGN";"";""
"R548G";"RHK-RGN";"";""
"R519G";"RHK-RGN";"";""
"R520G";"RHK-RGN";"";""
"RWG";"RSZ-N 1-RGN";"";""
"R221G";"RSZ-RGN";"";""
"RWI";"RSZ-RGN";"";""
"R222G";"RSZ-RGN";"";""
"RMZ";"RSZ-RGN RTB";"";""
"R325G";"RSZ-RGN";"";""
"R326G";"RSZ-RGN";"";""
"RGN";"RMZ R-N 3-RK";"";""
"R 25K";"RGN-RK";"";""
"R 28K";"RGN-RK";"";""
"R 30K";"RGN-RK";"";""
"R 27K";"RGN-RK";"";""
"R 32K";"RGN-RK";"";""
"R132K";"RGN-RK";"";""
"RFTL";"RGN-RK";"";""
"R129G";"RGN-RK";"";""
"R 29K";"RGN-RK";"";""
"R 31K";"RGN-RK";"";""
"R 34K";"RGN-RK";"";""
"RBAN";"RGN-N 12-RK";"";""
"R 33K";"RGN-RK";"";""
"R 36K";"RGN-RK";"";""
"RKHA";"RGN-RK";"";""
"R357K";"RGN-RK";"";""
"R358K";"RGN-RK";"";""
"RK";"RGN-N 3-RMU";"";""
"RBRU";"RK-RRA";"";""
"RETL";"RK-N 2-RRA";"";""
"RBRH";"RK-RRA";"";""
"R  1R";"RK-RRA";"";""
"R101R";"RK-RRA";"";""
"R  2R";"RK-RRA";"";""
"R102R";"RK-RRA";"";""
"R  3R";"RK-RRA";"";""
"R  4R";"RK-RRA";"";""
"R  5R";"RK-RRA";"";""
"R105R";"RK-RRA";"";""
"R  6R";"RK-RRA";"";""
"R106R";"RK-RRA";"";""
"RMS";"RK-RRA";"";""
"RMU";"RK-N202-RRA BÃ";"";""
"R  7R";"RK-RRA";"";""
"RRA";"RMU-N 3-RAP";"";""
"R 19R";"RRA-RAP";"";""
"R 18R";"RRA-RAP";"";""
"R121K";"RRA-RAP*1";"";""
"R 21K";"RRA-RAP";"";""
"R 20K";"RRA-RAP";"";""
"RRAS";"RRA-RAP RTB";"";""
"RHEB";"RRA-RBB";"";""
"R 25R";"RRA-RAP";"";""
"R 24K";"RRA-RAP";"";""
"RBB";"B-N4-RAP N";"";""
"R929O";"RRA-RAP";"";""
"R829O";"RRA-RAP";"";""
"R828O";"RRA-RAP";"";""
"R928O";"RRA-RAP";"";""
"R831O";"RRA-RAP";"";""
"R830O";"RRA-RAP";"";""
"R933O";"RRA-RAP";"";""
"RBNB";"RRA-N305-RAP";"";""
"R832O";"RRA-RAP";"";""
"ROW";"RRA F-N3-RAP R";"";""
"R 43O";"RRA-RAP";"";""
"R 42O";"RRA-RAP";"";""
"RAH";"RRA-503-RAP";"";""
"R 47R";"RRA-RAP";"";""
"R 46R";"RRA-RAP";"";""
"R 49R";"RRA-RAP";"";""
"R149A";"RRA-RAP";"";""
"R 48R";"RRA-RAP";"";""
"R148A";"RRA-RAP";"";""
"RR";"RRA-RAP";"";""
"R 51R";"RRA-RAP";"";""
"R 50R";"RRA-RAP";"";""
"R 53R";"RRA-RAP";"";""
"R 52R";"RRA-RAP";"";""
"RAPR";"RRA R-RAP F 5";"";""
"RAP";"RRA F-N 4-RO F";"";""
"RAPM";"RAP F-RO R 8";"";""
"RWAE";"RAP-RO";"";""
"RO";"Rtb-N 51-NBS";"";""
"RO  S";"RO-NBS-RF";"";""
"R357O";"RO-RF";"";""
"R354O";"RO-RF";"";""
"RNS";"RO-N441-RF";"";""
"RFH";"RO-N571-RML";"";""
"RLSW";"RO-N641-RF";"";""
"R257O";"RO-RF";"";""
"R256O";"RO-RF";"";""
"RORW";"RO-N231-RF";"";""
"R157O";"RO-RF";"";""
"R154O";"RO-RF";"";""
"RRI";"RO-RF";"";""
"RHZ";"RO-N131-RF";"";""
"RKN";"RO-N031-RF";"";""
"RRL";"RO-N 1-RF";"";""
"RKOE";"RO-RF";"";""
"RTMU";"RO-RF";"";""
"REMM";"RO-N 2-RF";"";""
"RKLR";"RO-RF";"";""
"RDZ";"RO-N 2-RF";"";""
"R163F";"RO-RF";"";""
"R160F";"RO-RF";"";""
"RGDN";"RO-RF";"";""
"R429F";"RO-RF";"";""
"R431F";"RO-RF";"";""
"R430F";"RO-RF";"";""
"RFZ";"RO-RML";"";""
"R432F";"RO-RF";"";""
"R435F";"RO-RF";"";""
"R434F";"RO-RF";"";""
"RFHE";"RO-RML";"";""
"RF";"RO-N 303-RML";"";""
"R505F";"RF-RB";"";""
"R506F";"RF-RB";"";""
"RFSG";"RO-RML";"";""
"RLS";"RF-RML";"";""
"REBR";"RF-RML";"";""
"RSAL";"RF-RB";"";""
"R 25F";"RF-RB";"";""
"R 30F";"RF-RB";"";""
"RNO";"RF-RML";"";""
"RBKR";"RF-N 2-RML";"";""
"R239F";"RF-RB";"";""
"R240F";"RF-RB";"";""
"RHE";"RF-N 2-RML";"";""
"R255F";"RF-RB";"";""
"RBGG";"RHE-RML";"";""
"R260F";"RF-RB";"";""
"RML";"RF-2/2-RB";"";""
"RAUG";"RML-RB";"";""
"RSG N";"RML-RSG";"";""
"RSG";"RML-1-RB";"";""
"R289F";"RF-RB";"";""
"R290F";"RF-RB";"";""
"RBEL";"RBEL-RRW";"";""
"RRW";"RML-N1-RB";"";""
"RKES";"RML-RB";"";""
"RKEU";"RML-RB";"";""
"R312F";"RML-RB";"";""
"RIT";"RML-RB";"";""
"R315F";"RML-RB";"";""
"REF";"RML-N3-RB";"";""
"REI";"RML-RW";"";""
"RHL";"RML-N708-RB";"";""
"RW";"RML-N 8-RB";"";""
"RQW";"RW-RB";"";""
"RB";"RW-N101-SBB";"";""
"RXBR";"RB-101-SBB";"";""
